nn: false ; neighbourhood: swap ; cooling: geo ; alfa: 0.99 ; T_max: 1000
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
6;0.72;0.00;0.00;0.00;
7;0.84;0.00;0.00;0.00;
8;3.87;0.00;0.00;0.00;
9;88.31;0.00;0.00;0.00;
10;163.67;0.00;0.09;0.20;
11;259.97;0.03;3.08;4.80;
12;260.02;0.05;5.20;9.20;
13;284.14;0.09;9.20;16.00;
5;0.88;0.00;0.00;0.00;
6;0.98;0.00;0.00;0.00;
7;2.00;0.00;0.00;0.00;
8;6.78;0.00;0.00;0.00;
9;25.26;0.00;0.00;0.00;
10;221.84;0.00;0.20;4.00;
11;268.38;0.01;0.54;15.00;
12;373.42;0.01;0.56;21.00;
13;265.81;0.01;0.72;36.00;
17;313.24;1.13;113.25;87.20;
34;265.89;1.41;141.31;1817.20;
65;407.00;2.79;278.55;5122.60;
100;577.11;3.25;325.11;117787.60;
171;1099.21;7.25;724.52;19960.40;
14;312.87;0.14;14.43;479.60;
29;331.43;0.98;97.59;1571.20;
100;488.78;5.35;535.15;113890.60;
137;663.19;6.51;651.07;454792.60;
150;527.33;7.18;717.83;187568.60;
200;772.11;8.72;871.54;256556.20;
nn: false ; neighbourhood: 2opt ; cooling: geo ; alfa: 0.99 ; T_max: 10000
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.52;0.00;0.00;0.00;
6;0.65;0.00;0.00;0.00;
7;0.64;0.00;0.00;0.00;
8;1.86;0.00;0.00;0.00;
9;30.26;0.00;0.00;0.00;
10;156.06;0.00;0.09;0.20;
11;305.69;0.02;2.05;3.20;
12;236.11;0.07;6.55;11.60;
13;237.84;0.08;7.93;13.80;
5;0.66;0.00;0.00;0.00;
6;0.64;0.00;0.00;0.00;
7;0.76;0.00;0.00;0.00;
8;6.98;0.00;0.00;0.00;
9;23.22;0.00;0.00;0.00;
10;175.20;0.00;0.45;9.00;
11;213.60;0.00;0.40;11.00;
12;185.00;0.01;0.74;28.00;
13;238.99;0.01;0.78;39.00;
17;182.61;1.32;131.95;101.60;
34;297.46;1.38;137.87;1773.00;
65;398.35;2.80;280.28;5154.40;
100;610.94;3.30;330.06;119582.40;
171;727.07;7.22;721.60;19880.00;
14;271.06;0.13;12.86;427.20;
29;318.12;0.96;96.43;1552.60;
100;421.91;5.38;538.29;114559.40;
137;605.65;6.54;654.38;457107.00;
150;727.30;7.14;713.64;186473.00;
200;1165.59;8.73;872.67;256888.00;
nn: false ; neighbourhood: 2opt ; cooling: geo ; alfa: 0.99 ; T_max: 100000
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.34;0.00;0.00;0.00;
6;0.94;0.00;0.00;0.00;
7;0.99;0.00;0.00;0.00;
8;2.46;0.00;0.00;0.00;
9;82.19;0.00;0.00;0.00;
10;271.60;0.04;4.43;9.40;
11;272.86;0.02;1.67;2.60;
12;254.17;0.05;5.08;9.00;
13;199.97;0.08;8.28;14.40;
5;0.65;0.00;0.00;0.00;
6;0.66;0.00;0.00;0.00;
7;1.04;0.00;0.00;0.00;
8;5.63;0.00;0.00;0.00;
9;26.10;0.00;0.00;0.00;
10;107.01;0.00;0.30;6.00;
11;172.39;0.01;0.54;15.00;
12;231.56;0.01;0.74;28.00;
13;201.25;0.01;0.86;43.00;
17;206.67;1.36;136.36;105.00;
34;282.17;1.44;143.67;1847.60;
65;365.76;2.78;278.18;5115.80;
100;529.95;3.25;324.96;117732.40;
171;968.59;7.22;722.26;19898.40;
14;352.89;0.14;14.09;468.20;
29;361.54;0.97;97.19;1564.80;
100;558.77;5.34;534.29;113707.80;
137;767.26;6.56;655.94;458195.40;
150;761.78;7.15;715.42;186940.00;
200;945.29;8.72;871.79;256630.00;
nn: false ; neighbourhood: 2opt ; cooling: geo ; alfa: 0.995 ; T_max: 1000
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.50;0.00;0.00;0.00;
6;0.63;0.00;0.00;0.00;
7;0.79;0.00;0.00;0.00;
8;1.64;0.00;0.00;0.00;
9;28.79;0.00;0.00;0.00;
10;198.98;0.00;0.00;0.00;
11;279.79;0.02;2.44;3.80;
12;207.52;0.06;5.99;10.60;
13;190.57;0.10;10.00;17.40;
5;0.61;0.00;0.00;0.00;
6;0.61;0.00;0.00;0.00;
7;1.75;0.00;0.00;0.00;
8;7.80;0.00;0.00;0.00;
9;50.94;0.00;0.00;0.00;
10;123.05;0.00;0.25;5.00;
11;157.35;0.00;0.47;13.00;
12;181.75;0.01;0.85;32.00;
13;177.06;0.01;0.82;41.00;
17;245.33;1.17;117.40;90.40;
34;331.02;1.44;144.48;1858.00;
65;458.63;2.71;271.00;4983.60;
100;550.83;3.27;326.57;118317.40;
171;706.19;7.18;717.92;19778.80;
14;197.88;0.16;15.97;530.60;
29;347.61;0.97;97.30;1566.60;
100;597.27;5.21;520.70;110814.40;
137;793.78;6.50;649.62;453778.00;
150;675.25;7.09;709.13;185295.20;
200;791.22;8.73;873.48;257126.60;
nn: false ; neighbourhood: 2opt ; cooling: geo ; alfa: 0.995 ; T_max: 10000
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.62;0.00;0.00;0.00;
6;0.60;0.00;0.00;0.00;
7;0.61;0.00;0.00;0.00;
8;2.85;0.00;0.00;0.00;
9;44.55;0.00;0.00;0.00;
10;115.37;0.00;0.19;0.40;
11;218.50;0.02;2.05;3.20;
12;186.53;0.05;5.08;9.00;
13;235.06;0.07;7.13;12.40;
5;0.60;0.00;0.00;0.00;
6;0.59;0.00;0.00;0.00;
7;1.48;0.00;0.00;0.00;
8;3.73;0.00;0.00;0.00;
9;22.03;0.00;0.00;0.00;
10;97.59;0.00;0.25;5.00;
11;192.43;0.01;0.61;17.00;
12;249.93;0.01;0.64;24.00;
13;211.21;0.01;0.84;42.00;
17;284.63;1.35;134.55;103.60;
34;285.53;1.41;141.42;1818.60;
65;383.58;2.78;278.40;5119.80;
100;689.73;3.24;323.62;117246.80;
171;683.02;7.34;734.26;20228.80;
14;220.94;0.14;14.15;470.20;
29;291.33;0.94;93.54;1506.00;
100;638.17;5.37;536.70;114220.60;
137;696.06;6.50;650.42;454337.80;
150;660.45;7.10;710.08;185542.60;
200;679.44;8.67;866.95;255203.60;
nn: false ; neighbourhood: 2opt ; cooling: geo ; alfa: 0.995 ; T_max: 100000
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.64;0.00;0.00;0.00;
6;0.63;0.00;0.00;0.00;
7;0.61;0.00;0.00;0.00;
8;1.51;0.00;0.00;0.00;
9;41.18;0.00;0.00;0.00;
10;159.78;0.03;3.11;6.60;
11;223.20;0.02;1.92;3.00;
12;276.45;0.06;5.65;10.00;
13;212.99;0.08;8.16;14.20;
5;0.62;0.00;0.00;0.00;
6;0.64;0.00;0.00;0.00;
7;1.62;0.00;0.00;0.00;
8;4.26;0.00;0.00;0.00;
9;29.95;0.00;0.00;0.00;
10;95.60;0.00;0.40;8.00;
11;198.10;0.01;0.54;15.00;
12;197.15;0.01;0.69;26.00;
13;247.88;0.01;0.82;41.00;
17;322.66;1.44;144.42;111.20;
34;337.32;1.41;141.38;1818.20;
65;439.97;2.83;283.11;5206.40;
100;703.93;3.24;324.19;117454.00;
171;744.65;7.30;730.13;20115.20;
14;274.48;0.14;14.17;471.00;
29;296.29;0.96;95.98;1545.20;
100;517.29;5.36;536.19;114112.20;
137;739.73;6.48;648.00;452644.60;
150;645.43;7.10;710.41;185630.20;
200;764.19;8.82;882.17;259685.80;
nn: false ; neighbourhood: 2opt ; cooling: geo ; alfa: 0.999 ; T_max: 1000
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.64;0.00;0.00;0.00;
6;0.66;0.00;0.00;0.00;
7;0.65;0.00;0.00;0.00;
8;1.67;0.00;0.00;0.00;
9;31.58;0.00;0.00;0.00;
10;92.96;0.01;0.66;1.40;
11;237.15;0.03;2.56;4.00;
12;237.18;0.07;6.78;12.00;
13;218.66;0.12;11.72;20.40;
5;0.65;0.00;0.00;0.00;
6;0.65;0.00;0.00;0.00;
7;0.76;0.00;0.00;0.00;
8;3.74;0.00;0.00;0.00;
9;50.07;0.00;0.00;0.00;
10;167.19;0.00;0.40;8.00;
11;123.96;0.00;0.47;13.00;
12;202.43;0.01;0.58;22.00;
13;291.16;0.01;0.62;31.00;
17;392.51;1.41;141.04;108.60;
34;361.52;1.42;141.80;1823.60;
65;378.65;2.80;279.78;5145.20;
100;545.84;3.26;326.01;118112.40;
171;831.74;7.20;720.39;19846.80;
14;242.94;0.14;14.04;466.40;
29;311.83;0.95;94.55;1522.20;
100;625.39;5.33;533.29;113495.20;
137;485.90;6.57;657.34;459172.40;
150;633.41;7.20;720.25;188201.60;
200;839.37;8.72;872.08;256715.60;
nn: false ; neighbourhood: 2opt ; cooling: geo ; alfa: 0.999 ; T_max: 10000
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.67;0.00;0.00;0.00;
6;0.67;0.00;0.00;0.00;
7;0.67;0.00;0.00;0.00;
8;3.32;0.00;0.00;0.00;
9;24.12;0.00;0.00;0.00;
10;207.20;0.00;0.19;0.40;
11;190.20;0.02;1.54;2.40;
12;222.92;0.07;6.78;12.00;
13;297.95;0.07;7.47;13.00;
5;0.59;0.00;0.00;0.00;
6;0.79;0.00;0.00;0.00;
7;1.59;0.00;0.00;0.00;
8;5.68;0.00;0.00;0.00;
9;61.29;0.00;0.00;0.00;
10;184.02;0.00;0.40;8.00;
11;219.92;0.01;0.61;17.00;
12;220.97;0.01;0.77;29.00;
13;246.03;0.01;0.66;33.00;
17;222.63;1.47;147.01;113.20;
34;314.92;1.42;142.49;1832.40;
65;375.83;2.77;277.44;5102.20;
100;742.31;3.24;324.09;117418.40;
171;836.31;7.34;733.96;20220.60;
14;267.28;0.15;15.39;511.40;
29;336.59;0.97;97.47;1569.20;
100;446.53;5.37;536.90;114262.40;
137;513.85;6.53;652.90;456067.60;
150;597.62;7.11;711.01;185788.20;
200;995.77;8.66;866.48;255065.40;
nn: false ; neighbourhood: 2opt ; cooling: geo ; alfa: 0.999 ; T_max: 100000
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.64;0.00;0.00;0.00;
6;0.48;0.00;0.00;0.00;
7;0.63;0.00;0.00;0.00;
8;2.04;0.00;0.00;0.00;
9;33.25;0.00;0.00;0.00;
10;177.00;0.03;2.83;6.00;
11;229.59;0.02;2.05;3.20;
12;208.42;0.06;5.65;10.00;
13;340.65;0.08;7.70;13.40;
5;0.76;0.00;0.00;0.00;
6;0.74;0.00;0.00;0.00;
7;0.74;0.00;0.00;0.00;
8;5.71;0.00;0.00;0.00;
9;17.61;0.00;0.00;0.00;
10;119.77;0.00;0.10;2.00;
11;212.50;0.00;0.36;10.00;
12;245.61;0.01;0.72;27.00;
13;202.41;0.01;0.70;35.00;
17;264.79;1.29;129.09;99.40;
34;375.48;1.45;145.15;1866.60;
65;352.40;2.80;280.23;5153.40;
100;557.87;3.27;326.78;118391.20;
171;806.31;7.28;728.13;20060.00;
14;202.09;0.15;14.58;484.40;
29;284.08;0.97;96.60;1555.20;
100;667.37;5.39;539.38;114790.40;
137;928.15;6.59;658.81;460197.80;
150;915.79;7.10;710.09;185547.20;
200;2039.32;8.70;869.65;255998.20;
init: random ; neighbourhood: 2opt ; cooling: log ; T_max: 15
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.96;0.00;0.00;0.00;
6;0.86;0.00;0.00;0.00;
7;0.80;0.00;0.00;0.00;
8;1.99;0.00;0.00;0.00;
9;40.83;0.00;0.00;0.00;
10;250.70;0.02;2.26;4.80;
11;236.63;0.03;2.69;4.20;
12;332.53;0.05;4.52;8.00;
13;457.57;0.07;7.01;12.20;
5;0.88;0.00;0.00;0.00;
6;0.91;0.00;0.00;0.00;
7;1.48;0.00;0.00;0.00;
8;5.32;0.00;0.00;0.00;
9;37.60;0.00;0.00;0.00;
10;213.93;0.00;0.30;6.00;
11;270.81;0.01;0.54;15.00;
12;276.79;0.01;0.77;29.00;
13;328.73;0.01;0.70;35.00;
17;488.43;1.21;121.30;93.40;
34;509.44;1.43;142.55;1833.20;
65;574.21;2.77;277.42;5101.80;
100;756.69;3.31;330.66;119799.20;
171;813.76;7.23;722.74;19911.60;
14;344.89;0.12;12.40;412.00;
29;533.73;0.87;86.55;1393.40;
100;708.34;5.25;524.78;111684.60;
137;725.00;6.55;654.85;457432.60;
150;569.57;7.04;703.81;183905.60;
200;982.56;8.78;878.24;258527.60;
init: random ; neighbourhood: 2opt ; cooling: log ; T_max: 20
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.48;0.00;0.00;0.00;
6;0.60;0.00;0.00;0.00;
7;0.62;0.00;0.00;0.00;
8;1.67;0.00;0.00;0.00;
9;9.68;0.00;0.00;0.00;
10;71.51;0.00;0.00;0.00;
11;197.73;0.03;2.95;4.60;
12;270.43;0.04;3.84;6.80;
13;200.91;0.09;9.43;16.40;
5;0.65;0.00;0.00;0.00;
6;0.63;0.00;0.00;0.00;
7;0.86;0.00;0.00;0.00;
8;2.94;0.00;0.00;0.00;
9;44.42;0.00;0.00;0.00;
10;93.49;0.00;0.10;2.00;
11;169.99;0.01;0.58;16.00;
12;269.69;0.01;0.58;22.00;
13;205.78;0.01;0.64;32.00;
17;243.36;1.24;123.64;95.20;
34;295.82;1.37;137.01;1762.00;
65;441.71;2.76;276.44;5083.80;
100;456.88;3.26;326.50;118290.00;
171;897.09;7.31;731.24;20145.60;
14;294.38;0.13;12.64;420.00;
29;269.37;0.93;93.34;1502.80;
100;516.76;5.35;535.32;113925.80;
137;630.39;6.47;647.37;452204.00;
150;849.20;7.14;713.80;186514.80;
200;684.66;8.70;870.39;256217.60;
init: random ; neighbourhood: 2opt ; cooling: log ; T_max: 30
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.48;0.00;0.00;0.00;
6;0.58;0.00;0.00;0.00;
7;0.74;0.00;0.00;0.00;
8;2.45;0.00;0.00;0.00;
9;20.41;0.00;0.00;0.00;
10;110.68;0.00;0.19;0.40;
11;156.45;0.02;1.67;2.60;
12;275.71;0.04;4.41;7.80;
13;239.84;0.08;7.59;13.20;
5;0.58;0.00;0.00;0.00;
6;0.61;0.00;0.00;0.00;
7;1.08;0.00;0.00;0.00;
8;3.68;0.00;0.00;0.00;
9;12.39;0.00;0.00;0.00;
10;113.92;0.00;0.10;2.00;
11;194.65;0.01;0.50;14.00;
12;214.17;0.01;0.72;27.00;
13;312.28;0.01;0.70;35.00;
17;362.85;1.21;121.30;93.40;
34;286.65;1.38;138.35;1779.20;
65;379.65;2.75;274.89;5055.20;
100;476.39;3.23;322.99;117021.00;
171;777.71;7.24;723.78;19940.20;
14;239.50;0.15;15.37;510.60;
29;279.09;0.91;91.08;1466.40;
100;431.19;5.33;532.53;113333.40;
137;595.56;6.67;666.93;465868.40;
150;532.33;7.08;708.22;185057.40;
200;649.16;8.63;863.30;254131.00;
nn: false ; neighbourhood: 2opt ; tabu list size: 20 ; cadence: 10
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.02;0.00;0.00;0.00;
6;0.03;0.00;0.00;0.00;
7;0.71;0.01;1.11;1.00;
8;0.14;0.00;0.00;0.00;
9;1.59;0.02;1.90;2.00;
10;3.02;0.06;5.66;12.00;
11;7.13;0.02;2.31;3.60;
12;11.53;0.02;2.49;4.40;
13;8.14;0.01;1.38;2.40;
5;0.03;0.00;0.00;0.00;
6;0.06;0.00;0.00;0.00;
7;0.77;0.00;0.34;2.00;
8;2.25;0.01;0.65;6.00;
9;3.75;0.01;1.02;14.00;
10;6.05;0.01;0.96;19.00;
11;5.48;0.01;0.72;20.00;
12;8.87;0.02;1.62;61.00;
13;13.30;0.01;1.08;54.00;
17;27.88;0.95;95.06;73.20;
34;123.30;0.47;46.69;600.40;
65;655.35;1.27;126.99;2335.40;
100;5913.74;0.57;57.50;20831.40;
171;10020.24;2.82;281.64;7759.20;
14;15.50;0.01;1.40;46.40;
29;91.98;0.04;3.79;61.00;
100;2267.72;0.06;6.28;1335.60;
137;5967.22;0.08;7.58;5297.20;
150;15777.62;0.07;6.80;1775.80;
200;22588.10;0.09;9.04;2660.20;
nn: false ; neighbourhood: 2opt ; tabu list size: 20 ; cadence: 50
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.02;0.00;0.00;0.00;
6;0.03;0.00;0.00;0.00;
7;0.05;0.00;0.00;0.00;
8;0.24;0.00;0.00;0.00;
9;0.69;0.00;0.00;0.00;
10;2.31;0.03;2.55;5.40;
11;5.74;0.01;1.41;2.20;
12;17.25;0.03;2.71;4.80;
13;20.24;0.04;3.91;6.80;
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.09;0.00;0.00;0.00;
8;1.52;0.01;0.54;5.00;
9;5.78;0.01;0.95;13.00;
10;6.72;0.01;1.01;20.00;
11;8.85;0.00;0.47;13.00;
12;7.24;0.00;0.27;10.00;
13;14.07;0.01;0.68;34.00;
17;45.67;0.72;72.21;55.60;
34;179.82;0.63;62.92;809.20;
65;908.43;1.13;112.99;2077.80;
100;3330.78;0.52;51.75;18749.00;
171;13167.21;2.84;284.03;7825.00;
14;127.41;0.01;1.37;45.40;
29;118.43;0.02;2.50;40.20;
100;2824.71;0.07;7.21;1535.00;
137;7068.44;0.07;7.39;5165.60;
150;10053.73;0.09;8.89;2323.60;
200;22431.41;0.10;10.27;3022.60;
nn: false ; neighbourhood: 2opt ; tabu list size: 20 ; cadence: 100
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.03;0.00;0.00;0.00;
6;0.03;0.00;0.00;0.00;
7;0.32;0.00;0.00;0.00;
8;0.28;0.00;0.00;0.00;
9;0.71;0.00;0.00;0.00;
10;2.52;0.04;3.87;8.20;
11;11.17;0.04;3.97;6.20;
12;16.89;0.03;3.05;5.40;
13;20.29;0.01;0.92;1.60;
5;0.03;0.00;0.00;0.00;
6;0.05;0.00;0.00;0.00;
7;0.23;0.00;0.00;0.00;
8;3.09;0.01;0.76;7.00;
9;4.28;0.01;0.58;8.00;
10;4.61;0.01;0.91;18.00;
11;6.01;0.00;0.40;11.00;
12;10.49;0.01;0.56;21.00;
13;9.09;0.00;0.34;17.00;
17;44.93;1.05;104.68;80.60;
34;181.80;0.54;53.55;688.60;
65;872.49;1.15;115.42;2122.60;
100;2855.22;0.57;56.64;20522.40;
171;12028.69;2.89;288.68;7953.20;
14;149.10;0.01;1.34;44.60;
29;118.32;0.04;3.99;64.20;
100;2854.68;0.06;5.52;1174.20;
137;7021.64;0.07;6.75;4716.40;
150;9658.83;0.07;7.25;1894.40;
200;22920.52;0.10;9.76;2872.20;
nn: false ; neighbourhood: 2opt ; tabu list size: 50 ; cadence: 10
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.02;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.05;0.00;0.00;0.00;
8;0.33;0.00;0.00;0.00;
9;1.57;0.02;1.90;2.00;
10;3.12;0.08;7.74;16.40;
11;5.60;0.02;1.79;2.80;
12;11.28;0.02;1.92;3.40;
13;13.54;0.03;2.76;4.80;
5;0.04;0.00;0.00;0.00;
6;0.05;0.00;0.00;0.00;
7;0.19;0.00;0.00;0.00;
8;1.19;0.00;0.43;4.00;
9;0.41;0.00;0.00;0.00;
10;4.56;0.01;0.76;15.00;
11;7.74;0.01;1.08;30.00;
12;7.18;0.01;0.69;26.00;
13;8.41;0.01;0.54;27.00;
17;29.22;1.04;103.64;79.80;
34;123.12;0.53;52.92;680.60;
65;626.81;1.10;110.46;2031.40;
100;9321.56;0.49;49.26;17846.80;
171;9561.27;2.87;286.82;7902.00;
14;15.56;0.01;1.44;48.00;
29;81.89;0.03;3.28;52.80;
100;2205.90;0.09;8.82;1876.20;
137;5632.16;0.09;9.39;6558.00;
150;28563.19;0.08;8.47;2214.20;
200;18787.48;0.09;8.75;2576.40;
nn: false ; neighbourhood: 2opt ; tabu list size: 50 ; cadence: 50
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.02;0.00;0.00;0.00;
6;0.03;0.00;0.00;0.00;
7;0.11;0.00;0.00;0.00;
8;0.12;0.00;0.00;0.00;
9;0.54;0.00;0.00;0.00;
10;1.68;0.00;0.00;0.00;
11;25.53;0.01;1.41;2.20;
12;27.70;0.02;1.58;2.80;
13;28.37;0.01;1.03;1.80;
5;0.03;0.00;0.00;0.00;
6;0.06;0.00;0.00;0.00;
7;0.22;0.00;0.00;0.00;
8;2.49;0.00;0.43;4.00;
9;6.36;0.01;0.51;7.00;
10;7.74;0.01;0.71;14.00;
11;5.89;0.00;0.22;6.00;
12;17.81;0.00;0.45;17.00;
13;13.83;0.00;0.36;18.00;
17;119.68;0.44;44.16;34.00;
34;311.55;0.48;47.51;611.00;
65;1811.02;1.16;115.80;2129.60;
100;5516.94;0.44;43.99;15935.80;
171;16322.67;2.96;296.40;8165.80;
14;48.17;0.01;1.36;45.20;
29;198.79;0.04;3.76;60.60;
100;4325.07;0.08;7.88;1676.60;
137;10067.78;0.08;7.94;5546.60;
150;13380.32;0.07;7.15;1868.60;
200;30803.28;0.08;8.26;2431.00;
nn: false ; neighbourhood: 2opt ; tabu list size: 50 ; cadence: 100
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.06;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.31;0.00;0.00;0.00;
8;0.23;0.00;0.00;0.00;
9;0.87;0.00;0.00;0.00;
10;1.89;0.00;0.00;0.00;
11;14.64;0.01;0.51;0.80;
12;34.61;0.02;2.37;4.20;
13;21.20;0.00;0.23;0.40;
5;0.02;0.00;0.00;0.00;
6;0.11;0.00;0.00;0.00;
7;0.18;0.00;0.00;0.00;
8;5.11;0.01;0.65;6.00;
9;3.86;0.00;0.22;3.00;
10;4.37;0.00;0.20;4.00;
11;14.98;0.01;0.83;23.00;
12;7.45;0.00;0.13;5.00;
13;28.79;0.01;0.56;28.00;
17;107.02;0.24;24.42;18.80;
34;392.30;0.55;55.26;710.60;
65;1626.05;1.27;127.08;2337.00;
100;5513.80;0.55;54.80;19854.00;
171;16863.11;2.83;282.67;7787.60;
14;41.09;0.01;1.40;46.60;
29;202.32;0.03;2.75;44.20;
100;4342.66;0.07;7.06;1502.80;
137;10185.79;0.07;6.78;4736.80;
150;13544.74;0.07;7.36;1922.40;
200;31252.32;0.11;10.74;3161.60;
nn: false ; neighbourhood: 2opt ; tabu list size: 100 ; cadence: 10
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.03;0.00;0.00;0.00;
6;0.03;0.00;0.00;0.00;
7;1.71;0.02;2.22;2.00;
8;0.16;0.00;0.00;0.00;
9;1.51;0.02;1.90;2.00;
10;1.65;0.03;2.74;5.80;
11;9.31;0.03;3.08;4.80;
12;11.11;0.03;2.71;4.80;
13;13.27;0.03;2.64;4.60;
5;0.03;0.00;0.00;0.00;
6;0.05;0.00;0.00;0.00;
7;0.77;0.01;0.69;4.00;
8;1.03;0.01;0.54;5.00;
9;2.58;0.01;0.58;8.00;
10;3.16;0.01;0.60;12.00;
11;5.69;0.01;0.68;19.00;
12;9.25;0.01;1.06;40.00;
13;3.33;0.00;0.26;13.00;
17;30.71;1.00;99.74;76.80;
34;125.37;0.51;51.09;657.00;
65;627.89;1.16;116.26;2138.00;
100;9228.87;0.54;53.59;19415.00;
171;9433.90;2.87;287.48;7920.20;
14;15.80;0.01;1.44;48.00;
29;84.34;0.03;2.66;42.80;
100;2216.75;0.07;6.92;1472.60;
137;5665.13;0.08;8.40;5866.80;
150;34171.77;0.07;7.19;1879.60;
200;18900.01;0.11;10.60;3119.60;
nn: false ; neighbourhood: 2opt ; tabu list size: 100 ; cadence: 50
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.13;0.00;0.00;0.00;
8;0.31;0.00;0.00;0.00;
9;0.99;0.00;0.00;0.00;
10;0.75;0.00;0.00;0.00;
11;25.95;0.01;1.28;2.00;
12;33.35;0.02;1.81;3.20;
13;30.64;0.02;1.61;2.80;
5;0.04;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.27;0.00;0.00;0.00;
8;2.73;0.01;0.54;5.00;
9;6.98;0.01;0.65;9.00;
10;4.08;0.00;0.35;7.00;
11;14.65;0.00;0.43;12.00;
12;12.06;0.00;0.37;14.00;
13;21.87;0.00;0.42;21.00;
17;109.08;0.46;46.23;35.60;
34;344.91;0.48;48.27;620.80;
65;1495.76;1.16;116.26;2138.00;
100;5519.88;0.46;45.85;16611.80;
171;20861.61;2.84;284.05;7825.60;
14;40.20;0.01;1.34;44.60;
29;200.11;0.03;2.66;42.80;
100;4296.30;0.06;5.63;1198.20;
137;10301.57;0.06;5.54;3870.20;
150;13032.92;0.08;7.54;1969.40;
200;31140.80;0.10;9.97;2934.60;
nn: false ; neighbourhood: 2opt ; tabu list size: 100 ; cadence: 100
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.02;0.00;0.00;0.00;
6;0.05;0.00;0.00;0.00;
7;0.05;0.00;0.00;0.00;
8;0.28;0.00;0.00;0.00;
9;0.75;0.00;0.00;0.00;
10;0.38;0.00;0.00;0.00;
11;19.18;0.01;0.51;0.80;
12;53.67;0.01;1.13;2.00;
13;65.87;0.02;2.30;4.00;
5;0.03;0.00;0.00;0.00;
6;0.10;0.00;0.00;0.00;
7;0.16;0.00;0.00;0.00;
8;0.56;0.00;0.00;0.00;
9;15.16;0.01;1.16;16.00;
10;6.83;0.00;0.40;8.00;
11;22.21;0.00;0.40;11.00;
12;9.47;0.00;0.19;7.00;
13;33.90;0.01;0.58;29.00;
17;262.04;0.26;26.49;20.40;
34;486.18;0.50;50.23;646.00;
65;2218.05;1.09;108.64;1997.80;
100;8190.85;0.50;50.50;18295.60;
171;30114.72;2.83;282.82;7791.60;
14;72.02;0.01;1.36;45.20;
29;375.08;0.04;3.52;56.60;
100;6291.36;0.11;11.20;2384.00;
137;14862.76;0.08;8.04;5615.00;
150;19533.68;0.07;7.30;1907.20;
200;43782.97;0.08;7.82;2300.60;
nn: true ; neighbourhood: swap ; cooling: geo ; alfa: 0.99 ; T_max: 1000
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.07;0.00;0.00;0.00;
8;0.13;0.00;0.00;0.00;
9;0.22;0.00;0.00;0.00;
10;114.46;0.00;0.47;1.00;
11;150.01;0.02;1.92;3.00;
12;0.52;0.00;0.00;0.00;
13;120.93;0.02;2.30;4.00;
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.05;0.00;0.00;0.00;
8;0.07;0.00;0.00;0.00;
9;0.10;0.00;0.00;0.00;
10;0.12;0.00;0.00;0.00;
11;0.16;0.00;0.00;0.00;
12;0.19;0.00;0.00;0.00;
13;0.23;0.00;0.00;0.00;
17;123.07;0.27;27.27;21.00;
34;144.87;0.24;23.64;304.00;
65;192.32;0.20;19.74;363.00;
100;250.14;0.20;19.56;7086.00;
171;1975.98;0.28;28.20;777.00;
14;123.54;0.03;2.65;88.00;
29;951.58;0.20;20.19;325.00;
