nn: false ; neighbourhood: swap ; cooling: geo ; alfa: 0.99 ; T_max: 1000
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
200;516.93;8.72;872.04;256702.40;
nn: false ; neighbourhood: swap ; cooling: geo ; alfa: 0.995 ; T_max: 100000
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.46;0.00;0.00;0.00;
6;0.43;0.00;0.00;0.00;
7;0.58;0.00;0.00;0.00;
8;1.56;0.00;0.00;0.00;
9;23.01;0.00;0.00;0.00;
10;143.43;0.01;0.66;1.40;
11;220.72;0.02;2.05;3.20;
12;154.70;0.05;4.97;8.80;
13;199.65;0.08;8.05;14.00;
5;0.57;0.00;0.00;0.00;
6;0.59;0.00;0.00;0.00;
7;0.70;0.00;0.00;0.00;
8;4.19;0.00;0.00;0.00;
9;35.02;0.00;0.00;0.00;
10;161.13;0.01;0.50;10.00;
11;155.58;0.01;0.61;17.00;
12;195.75;0.01;0.85;32.00;
13;194.85;0.01;0.74;37.00;
17;194.57;1.48;148.31;114.20;
34;276.33;1.42;141.99;1826.00;
65;297.87;2.76;276.27;5080.60;
100;397.93;3.22;322.13;116706.40;
171;476.86;7.33;733.39;20205.00;
14;204.12;0.15;15.19;504.60;
29;198.13;0.98;98.21;1581.20;
100;402.53;5.36;535.97;114065.80;
137;448.84;6.42;642.17;448576.00;
150;506.24;7.11;711.44;185900.00;
200;530.93;8.74;873.63;257170.80;
nn: false ; neighbourhood: swap ; cooling: geo ; alfa: 0.999 ; T_max: 1000
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.57;0.00;0.00;0.00;
6;0.49;0.00;0.00;0.00;
7;0.57;0.00;0.00;0.00;
8;1.06;0.00;0.00;0.00;
9;69.18;0.01;0.95;1.00;
10;95.73;0.00;0.19;0.40;
11;187.20;0.03;3.08;4.80;
12;187.68;0.07;6.55;11.60;
13;225.68;0.06;5.86;10.20;
5;0.58;0.00;0.00;0.00;
6;0.85;0.00;0.00;0.00;
7;1.11;0.00;0.00;0.00;
8;2.33;0.00;0.00;0.00;
9;39.12;0.00;0.15;2.00;
10;113.23;0.00;0.35;7.00;
11;210.12;0.01;0.54;15.00;
12;165.90;0.01;0.80;30.00;
13;192.53;0.01;0.74;37.00;
17;278.02;1.38;138.44;106.60;
34;246.77;1.42;141.88;1824.60;
65;262.92;2.78;277.94;5111.40;
100;335.99;3.30;329.84;119502.00;
171;612.50;7.24;723.83;19941.60;
14;153.83;0.16;16.16;537.00;
29;198.51;0.97;97.42;1568.40;
100;354.21;5.29;528.84;112547.00;
137;611.03;6.48;648.21;452797.00;
150;446.83;7.08;707.70;184922.40;
200;659.91;8.64;864.42;254458.00;
